rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,name,position,velocity,effort
1561364681311629434,,2064,,1561364681,310475111,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561364681411384051,,2065,,1561364681,410469055,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561364681511228804,,2066,,1561364681,510492086,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561364681611240224,,2067,,1561364681,610479116,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561364681711446834,,2068,,1561364681,710459947,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561364681811190127,,2069,,1561364681,810502052,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561364681911733593,,2070,,1561364681,910888910,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561364682011202680,,2071,,1561364682,10493993,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561364682111452889,,2072,,1561364682,110713005,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561364682211249409,,2073,,1561364682,210421085,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561364682311099385,,2074,,1561364682,310511112,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561364682411261190,,2075,,1561364682,410670995,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561364682511652450,,2076,,1561364682,510631084,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561364682611513047,,2077,,1561364682,610548019,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561364682711220945,,2078,,1561364682,710408926,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561364682811590282,,2079,,1561364682,810513019,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561364682911725581,,2080,,1561364682,910531044,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561364683011154238,,2081,,1561364683,10554075,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561364683111407835,,2082,,1561364683,110505104,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561364683211763248,,2083,,1561364683,210664033,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561364683311530872,,2084,,1561364683,310549974,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561364683411497293,,2085,,1561364683,410502910,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561364683511111579,,2086,,1561364683,510479927,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561364683611241001,,2087,,1561364683,610516071,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561364683711578909,,2088,,1561364683,710496902,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561364683811181083,,2089,,1561364683,810493946,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561364683911199536,,2090,,1561364683,910423994,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561364684011316400,,2091,,1561364684,10477066,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561364684111377299,,2092,,1561364684,110784053,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561364684211529501,,2093,,1561364684,210733890,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561364684311439100,,2094,,1561364684,310496091,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561364684411348442,,2095,,1561364684,410495996,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561364684511026962,,2096,,1561364684,510478019,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561364684611135808,,2097,,1561364684,610496044,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561364684711679346,,2098,,1561364684,710916996,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561364684811354630,,2099,,1561364684,810465097,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561364684911273429,,2100,,1561364684,910427093,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561364685011506310,,2101,,1561364685,10449886,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561364685111275184,,2102,,1561364685,110477924,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561364685211233228,,2103,,1561364685,210485935,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561364685311026880,,2104,,1561364685,310478925,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561364685411497606,,2105,,1561364685,410456895,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561364685511033994,,2106,,1561364685,510490894,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561364685611102093,,2107,,1561364685,610508918,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561364685711344051,,2108,,1561364685,710504055,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561364685811651161,,2109,,1561364685,810482978,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561364685911501074,,2110,,1561364685,910504102,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561364686011015464,,2111,,1561364686,10528087,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561364686111356481,,2112,,1561364686,110527038,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561364686211475765,,2113,,1561364686,210515022,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561364686311455544,,2114,,1561364686,310499906,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561364686411182226,,2115,,1561364686,410437107,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561364686511406491,,2116,,1561364686,510472059,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
